run,minR,repetition,Module,Packets Sent,SFF,TotalEnergyConsumed,TP,X,Y
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9330],561,11,0.101105664,9,-3249.682246,1331.618321
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9331],635,10,0.06242304,9,-1456.621048,-2544.174533
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9332],570,11,0.10272768,14,-621.610723,-3346.99918
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9333],705,9,0.038117376,2,1339.789522,1756.586453
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9334],709,9,0.038333645,10,-2103.76043,-690.7526488
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9335],577,11,0.103989248,13,250.184872,3971.555365
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9336],579,10,0.056918016,11,-927.213819,2557.55144
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9337],548,11,0.098762752,4,364.7185081,-3514.366724
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9338],687,9,0.037144166,2,1390.605965,1232.422378
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9339],763,8,0.022918485,5,-1292.680391,-793.4553502
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9340],570,11,0.10272768,7,2486.508631,3047.842774
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9341],609,10,0.059867136,11,1080.832829,-2504.585882
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9342],636,10,0.062521344,8,-1514.365958,2433.56478
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9343],555,11,0.10002432,11,3154.587236,-1908.741557
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9344],564,11,0.101646336,9,1600.036437,-3189.099226
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9345],544,11,0.098041856,13,1946.231998,-3270.720653
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9346],664,10,0.065273856,6,-87.35171372,3168.520091
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9347],560,11,0.10092544,13,-1254.813629,3446.017247
